# Data extracted from Teng et al (1998; doi:10.1126/science.282.5389.724), Fig 4
sigma,type,W
0.136904761904762,acute,488.1227334839985
0.272321428571429,acute,389.6310838013859
0.53125,acute,143.55093200892495
0.671130952380953,acute,125.04493829117213
0.8348214285714279,acute,88.25014428178481
1.03422619047619,acute,66.8259619669501
1.20238095238095,acute,56.68748421697462
1.41964285714286,acute,53.47413532285964
0.136904761904762,obtuse,864.2349187750473
0.273809523809524,obtuse,556.6333367689205
0.53125,obtuse,251.61301509627884
0.6681547619047621,obtuse,154.52198455902206
0.8318452380952379,obtuse,103.69315378504366
1.4211309523809499,obtuse,60.48836917405112
